company_year_id,accession,primitive,selected_value_before,outcome,action,reason,primary_10_k_file,primary_10_k_sha256,statement_file,statement_sha256,direct_statement_label,direct_statement_value,evidence_note,current_status_after,current_value_after,current_reason_after,selected_tag_before,pair_status_after,dependent_features_recalculated,dependent_feature_statuses_after,primary_10_k_path,statement_path
0001617351-2019,0001617351-19-000008,assets,-6889,xbrl_semantic_or_context_error,ambiguous_na,liabilities_and_equity_tag_attached_to_equity_deficit_line,lepota10k2019.htm,ce56b1eb40f668311c2c0ff3d13118febf03af8d4c5b86a6e2f02c87ab89615d,R2.htm,6eb290e76862e12ab5ed8e6b10fcc4772f9ffca57ac74ee1660649fccf130eff,Total Assets,2334,"Selected value is the stockholders' deficit line tagged LiabilitiesAndStockholdersEquity; primary total assets are 2,334.",ambiguous,,manual_primary_statement_sign_review:liabilities_and_equity_tag_attached_to_equity_deficit_line,LiabilitiesAndStockholdersEquity,ambiguous,log_assets_t;roa_t;ocf_to_assets_t;liabilities_to_assets_t;working_capital_to_assets_t;accruals_to_assets_t;asset_growth_1y;delta_roa_1y;delta_ocf_to_assets_1y;delta_liabilities_to_assets_1y;asset_turnover_t,log_assets_t:ambiguous;roa_t:ambiguous;ocf_to_assets_t:ambiguous;liabilities_to_assets_t:ambiguous;working_capital_to_assets_t:ambiguous;accruals_to_assets_t:ambiguous;asset_growth_1y:ambiguous;delta_roa_1y:ambiguous;delta_ocf_to_assets_1y:ambiguous;delta_liabilities_to_assets_1y:ambiguous;asset_turnover_t:ambiguous,data/raw/sec_filings/revenue_statement_evidence/0001617351/000161735119000008/lepota10k2019.htm,data/raw/sec_filings/revenue_statement_evidence/0001617351/000161735119000008/R2.htm
0001625285-2018,0001625285-20-000004,assets,-13,unresolved,ambiguous_na,negative_asset_presentation_not_economically_resolved,reviewedform-10-k-20181031.htm,567106f1db625a7ebe83bb3282e8d5bb0c16cfd08c8b34abfdc44a1cb9738ac3,R2.htm,3470d564a79823454e42c4dcc5618a854f8616daea2ef95d8cdc43c774dc7923,Total Assets,-13,"Primary balance sheet reports negative cash, current assets and total assets; the economic classification of the overdraft cannot be resolved conservatively.",ambiguous,,manual_primary_statement_sign_review:negative_asset_presentation_not_economically_resolved,Assets,ambiguous,log_assets_t;roa_t;ocf_to_assets_t;liabilities_to_assets_t;working_capital_to_assets_t;accruals_to_assets_t;asset_growth_1y;delta_roa_1y;delta_ocf_to_assets_1y;delta_liabilities_to_assets_1y;asset_turnover_t,log_assets_t:ambiguous;roa_t:ambiguous;ocf_to_assets_t:ambiguous;liabilities_to_assets_t:ambiguous;working_capital_to_assets_t:ambiguous;accruals_to_assets_t:ambiguous;asset_growth_1y:ambiguous;delta_roa_1y:ambiguous;delta_ocf_to_assets_1y:ambiguous;delta_liabilities_to_assets_1y:ambiguous;asset_turnover_t:ambiguous,data/raw/sec_filings/revenue_statement_evidence/0001625285/000162528520000004/reviewedform-10-k-20181031.htm,data/raw/sec_filings/revenue_statement_evidence/0001625285/000162528520000004/R2.htm
0001625285-2018,0001625285-20-000004,current_assets,-13,unresolved,ambiguous_na,negative_current_assets_presentation_not_economically_resolved,reviewedform-10-k-20181031.htm,567106f1db625a7ebe83bb3282e8d5bb0c16cfd08c8b34abfdc44a1cb9738ac3,R2.htm,3470d564a79823454e42c4dcc5618a854f8616daea2ef95d8cdc43c774dc7923,Total Current Assets,-13,Primary balance sheet presents negative cash and negative total current assets; conservative economic classification is unresolved.,ambiguous,,manual_primary_statement_sign_review:negative_current_assets_presentation_not_economically_resolved,AssetsCurrent,ambiguous,current_ratio_t;working_capital_to_assets_t;current_ratio_change_1y,current_ratio_t:ambiguous;working_capital_to_assets_t:ambiguous;current_ratio_change_1y:ambiguous,data/raw/sec_filings/revenue_statement_evidence/0001625285/000162528520000004/reviewedform-10-k-20181031.htm,data/raw/sec_filings/revenue_statement_evidence/0001625285/000162528520000004/R2.htm
0001629606-2018,0001654954-19-004410,revenues,-65034,reported_economically_valid,retain,negative_revenue_supported_by_dispensary_cost_reimbursements,drvd_10k.htm,ea1aebbf56fe2d01f5ac798fee3df68bb343a409142516b8c9c610ee9e6371a4,R4.htm,01cb625e23befb8a1713ba55fd3698750ca4cfe5d10dfd79677b1ddf40b555c8,Sales,-65034,"The filing explicitly explains 114,574 of dispensary cost reimbursements offsetting delivery and commission income.",selected,-65034.0,primary_statement_consolidated_revenue_confirmed,Revenues,selected,log1p_revenues_t;profit_margin_t;ocf_margin_t;asset_turnover_t;revenue_growth_1y,log1p_revenues_t:not_computable;profit_margin_t:not_computable;ocf_margin_t:not_computable;asset_turnover_t:available;revenue_growth_1y:not_computable,data/raw/sec_filings/revenue_statement_evidence/0001629606/000165495419004410/drvd_10k.htm,data/raw/sec_filings/revenue_statement_evidence/0001629606/000165495419004410/R4.htm
0001673504-2019,0001673504-19-000010,assets,-12490,xbrl_semantic_or_context_error,ambiguous_na,liabilities_and_equity_tag_attached_to_equity_deficit_line,galem10kaugust.htm,56825361afd1c41b3d4415dfd896fac9e9457c12640cf22bffaaf4611bb712b5,R2.htm,28f46e0dd074e4e8002fab03547f2de40222c7bf7e7fa77db7323bbcfdefd7d5,Total Assets,14142,"Selected value is the stockholders' deficit line tagged LiabilitiesAndStockholdersEquity; primary total assets are 14,142.",ambiguous,,manual_primary_statement_sign_review:liabilities_and_equity_tag_attached_to_equity_deficit_line,LiabilitiesAndStockholdersEquity,ambiguous,log_assets_t;roa_t;ocf_to_assets_t;liabilities_to_assets_t;working_capital_to_assets_t;accruals_to_assets_t;asset_growth_1y;delta_roa_1y;delta_ocf_to_assets_1y;delta_liabilities_to_assets_1y;asset_turnover_t,log_assets_t:ambiguous;roa_t:ambiguous;ocf_to_assets_t:ambiguous;liabilities_to_assets_t:ambiguous;working_capital_to_assets_t:ambiguous;accruals_to_assets_t:ambiguous;asset_growth_1y:ambiguous;delta_roa_1y:ambiguous;delta_ocf_to_assets_1y:ambiguous;delta_liabilities_to_assets_1y:ambiguous;asset_turnover_t:ambiguous,data/raw/sec_filings/revenue_statement_evidence/0001673504/000167350419000010/galem10kaugust.htm,data/raw/sec_filings/revenue_statement_evidence/0001673504/000167350419000010/R2.htm
0001696411-2018,0001696411-20-000011,liabilities,-1600,xbrl_semantic_or_context_error,ambiguous_na,liabilities_tag_attached_to_equity_deficit_line,f10k_crona2018.htm,de692380b2cd9aadf2968cdc23b325c649a142afeb75e0459e37699a2a7d1b3b,R2.htm,2021a4d29b9fe53555086c5a7901c5427ba04b6a7df004c663af2a0f3ad27495,Total Liabilities,1600,"Liabilities tag is attached to stockholders' deficit; primary liabilities are positive 1,600.",ambiguous,,manual_primary_statement_sign_review:liabilities_tag_attached_to_equity_deficit_line,Liabilities,ambiguous,liabilities_to_assets_t;delta_liabilities_to_assets_1y,liabilities_to_assets_t:ambiguous;delta_liabilities_to_assets_1y:ambiguous,data/raw/sec_filings/revenue_statement_evidence/0001696411/000169641120000011/f10k_crona2018.htm,data/raw/sec_filings/revenue_statement_evidence/0001696411/000169641120000011/R2.htm
0001696411-2019,0001696411-20-000020,liabilities,-2800,xbrl_semantic_or_context_error,ambiguous_na,liabilities_tag_attached_to_equity_deficit_line,f10k_cronadecember312019.htm,f7efe1c23b9354715b7fedba35c9b7c2a160aed173342cb5fabb3b45c453b756,R2.htm,ac9a1b694cc49eefb057bfcf2797ce5cfe27aed1baaaf83b43b5e1fe34fb4bd1,Total Liabilities,2800,"Liabilities tag is attached to stockholders' deficit; primary liabilities are positive 2,800.",ambiguous,,manual_primary_statement_sign_review:liabilities_tag_attached_to_equity_deficit_line,Liabilities,ambiguous,liabilities_to_assets_t;delta_liabilities_to_assets_1y,liabilities_to_assets_t:ambiguous;delta_liabilities_to_assets_1y:ambiguous,data/raw/sec_filings/revenue_statement_evidence/0001696411/000169641120000020/f10k_cronadecember312019.htm,data/raw/sec_filings/revenue_statement_evidence/0001696411/000169641120000020/R2.htm
0001696411-2020,0001696411-21-000008,liabilities,-26862,xbrl_semantic_or_context_error,ambiguous_na,liabilities_tag_attached_to_equity_deficit_line,crona10k1212020.htm,85ddd8bc7e0c07ee37d4e2782a53f849a97d4a6d06ffe46bb3973a138371d67e,R2.htm,90b4a81bf51d2e60d5fd26d2f94d6cabd42ed3d7a98fca4b83b9a71dba040a15,Total Liabilities,35748,"Liabilities tag is attached to stockholders' deficit; primary liabilities are positive 35,748.",ambiguous,,manual_primary_statement_sign_review:liabilities_tag_attached_to_equity_deficit_line,Liabilities,ambiguous,liabilities_to_assets_t;delta_liabilities_to_assets_1y,liabilities_to_assets_t:ambiguous;delta_liabilities_to_assets_1y:ambiguous,data/raw/sec_filings/revenue_statement_evidence/0001696411/000169641121000008/crona10k1212020.htm,data/raw/sec_filings/revenue_statement_evidence/0001696411/000169641121000008/R2.htm
0001698530-2021,0001698530-22-000019,revenues,-483000,reported_economically_valid,retain,negative_revenue_supported_by_cumulative_catchup_reversal,xcur-20211231.htm,2af15e9d9c45c764c1661ad6a3bd3408853d648aece097a35eece2259abf0da7,R5.htm,feb1835b97085c0923ac6cd30889c080a088d1541bc527bd4102418804592895,Total revenue,-483000,The filing documents a 2.792 million AbbVie cumulative catch-up revenue reversal offset by Ipsen revenue.,selected,-483000.0,primary_statement_consolidated_revenue_confirmed,Revenues,selected,log1p_revenues_t;profit_margin_t;ocf_margin_t;asset_turnover_t;revenue_growth_1y,log1p_revenues_t:not_computable;profit_margin_t:not_computable;ocf_margin_t:not_computable;asset_turnover_t:available;revenue_growth_1y:not_computable,data/raw/sec_filings/revenue_statement_evidence/0001698530/000169853022000019/xcur-20211231.htm,data/raw/sec_filings/revenue_statement_evidence/0001698530/000169853022000019/R5.htm
0001714379-2019,0001714379-20-000003,liabilities,-12167,xbrl_semantic_or_context_error,ambiguous_na,liabilities_tag_attached_to_equity_deficit_line,f10ktiburonjan2020.htm,39279d6da0a15c4ee47ef7b9a4f8debaba50f82aefddbd749416f15ef4030aca,R2.htm,35660ae5999bd03f6b79ba2e882187b0ddc0d33a828a10e09005c4c7e67e357b,Total Liabilities,12763,"Liabilities tag is attached to stockholders' deficit; primary liabilities are positive 12,763.",ambiguous,,manual_primary_statement_sign_review:liabilities_tag_attached_to_equity_deficit_line,Liabilities,ambiguous,liabilities_to_assets_t;delta_liabilities_to_assets_1y,liabilities_to_assets_t:ambiguous;delta_liabilities_to_assets_1y:ambiguous,data/raw/sec_filings/revenue_statement_evidence/0001714379/000171437920000003/f10ktiburonjan2020.htm,data/raw/sec_filings/revenue_statement_evidence/0001714379/000171437920000003/R2.htm
0001746278-2020,0001746278-21-000016,liabilities,-14843,xbrl_semantic_or_context_error,ambiguous_na,liabilities_tag_attached_to_equity_deficit_line,f2020lovarra10k312020.htm,d628158a3446ebf6b4f13a5a201148aeae51dff01a1b71f62369926cc7f4ab78,R2.htm,88d74591b64103fa069a86428053301db61f0a9d2fd40344eed84fddd505681b,Total Liabilities,20225,"Liabilities tag is attached to stockholder's deficit; primary liabilities are positive 20,225.",ambiguous,,manual_primary_statement_sign_review:liabilities_tag_attached_to_equity_deficit_line,Liabilities,ambiguous,liabilities_to_assets_t;delta_liabilities_to_assets_1y,liabilities_to_assets_t:ambiguous;delta_liabilities_to_assets_1y:ambiguous,data/raw/sec_filings/revenue_statement_evidence/0001746278/000174627821000016/f2020lovarra10k312020.htm,data/raw/sec_filings/revenue_statement_evidence/0001746278/000174627821000016/R2.htm
0001753373-2020,0001753373-21-000002,liabilities,-15854,xbrl_semantic_or_context_error,ambiguous_na,liabilities_tag_attached_to_equity_deficit_line,inky10k_november302020.htm,83e8074aac219582c436e33eb8e00eb9f40232a907157651ff918b659eaf8eb9,R2.htm,7a436be55e705d78d545d9539abe314e34e371adec33352b36bed947b0b1c6cc,Total Liabilities,27545,"Liabilities tag is attached to stockholders' deficit; primary liabilities are positive 27,545.",ambiguous,,manual_primary_statement_sign_review:liabilities_tag_attached_to_equity_deficit_line,Liabilities,ambiguous,liabilities_to_assets_t;delta_liabilities_to_assets_1y,liabilities_to_assets_t:ambiguous;delta_liabilities_to_assets_1y:ambiguous,data/raw/sec_filings/revenue_statement_evidence/0001753373/000175337321000002/inky10k_november302020.htm,data/raw/sec_filings/revenue_statement_evidence/0001753373/000175337321000002/R2.htm
0001753391-2019,0001753391-19-000025,liabilities,-14796,xbrl_semantic_or_context_error,ambiguous_na,liabilities_tag_attached_to_equity_deficit_line,bigeon-10k-july312019.htm,b3ac81c478ab9513437fd85c841bcc7fc7fa527da0ed0bd2bc1d02143ca3dcb2,R2.htm,d3ce1e980558351032d844176067c15e5fa09eec644b3846d6ec0729a13d46c7,Total Liabilities,16994,"Liabilities tag is attached to stockholders' deficit; primary liabilities are positive 16,994.",ambiguous,,manual_primary_statement_sign_review:liabilities_tag_attached_to_equity_deficit_line,Liabilities,ambiguous,liabilities_to_assets_t;delta_liabilities_to_assets_1y,liabilities_to_assets_t:ambiguous;delta_liabilities_to_assets_1y:ambiguous,data/raw/sec_filings/revenue_statement_evidence/0001753391/000175339119000025/bigeon-10k-july312019.htm,data/raw/sec_filings/revenue_statement_evidence/0001753391/000175339119000025/R2.htm
0001753391-2020,0001753391-20-000012,liabilities,-12692,xbrl_semantic_or_context_error,ambiguous_na,liabilities_tag_attached_to_equity_deficit_line,bigeon10kjuly312020.htm,93d4b07140bf1a00718cfb7f2112cd3816af70452a45c77c0d65ef3e47febdf0,R2.htm,408ccd4183eed1168a8c3ddf674e776b4d75733e6218caef890c3b8f06fe0394,Total Liabilities,15144,"Liabilities tag is attached to stockholders' deficit; primary liabilities are positive 15,144.",ambiguous,,manual_primary_statement_sign_review:liabilities_tag_attached_to_equity_deficit_line,Liabilities,ambiguous,liabilities_to_assets_t;delta_liabilities_to_assets_1y,liabilities_to_assets_t:ambiguous;delta_liabilities_to_assets_1y:ambiguous,data/raw/sec_filings/revenue_statement_evidence/0001753391/000175339120000012/bigeon10kjuly312020.htm,data/raw/sec_filings/revenue_statement_evidence/0001753391/000175339120000012/R2.htm
0001765048-2020,0001765048-21-000003,liabilities,-12634,xbrl_semantic_or_context_error,ambiguous_na,liabilities_tag_attached_to_equity_deficit_line,charmt10-kdecember312020.htm,a8efd75c1f1fa10003519721179cfd11b6d4e88ece72aa6fe9c09b76d600b2fd,R2.htm,ff0be7938ce3d26f2fdf35314173899b7592871e91761cf1395a0d4ed34bae6b,Total Liabilities,14066,"Liabilities tag is attached to stockholders' deficit; primary liabilities are positive 14,066.",ambiguous,,manual_primary_statement_sign_review:liabilities_tag_attached_to_equity_deficit_line,Liabilities,ambiguous,liabilities_to_assets_t;delta_liabilities_to_assets_1y,liabilities_to_assets_t:ambiguous;delta_liabilities_to_assets_1y:ambiguous,data/raw/sec_filings/revenue_statement_evidence/0001765048/000176504821000003/charmt10-kdecember312020.htm,data/raw/sec_filings/revenue_statement_evidence/0001765048/000176504821000003/R2.htm
